S.no,Airline code,Flight Designator,SOBT,checkinopen,checkinclose,Routing,Traffic Type,Public Terminal,GHA,Seats,dest_iata,dest_city,dest_country,airline_name,airline_country
137,6E,6E 1701,21-06-2026 20:20,21-06-2026 16:20,21-06-2026 19:20,DEL-CAN,INTERNATIONAL,Terminal 3,BFS,186,CAN,Guangzhou,China,IndiGo,India
138,AI,AI 2145,21-06-2026 20:50,21-06-2026 16:50,21-06-2026 19:50,DEL-DPS,INTERNATIONAL,Terminal 3,AISATS,188,DPS,Denpasar (Bali),Indonesia,Air India,India
139,6E,6E 083,21-06-2026 20:55,21-06-2026 16:55,21-06-2026 19:55,DEL-DMM,INTERNATIONAL,Terminal 3,BFS,232,DMM,Dammam,Saudi Arabia,IndiGo,India
140,XJ,XJ 231,21-06-2026 20:55,21-06-2026 16:55,21-06-2026 19:55,DEL-DMK,INTERNATIONAL,Terminal 3,BFS,377,DMK,Bangkok,Thailand,Thai AirAsia X,Thailand
141,6E,6E 1405,21-06-2026 21:00,21-06-2026 17:00,21-06-2026 20:00,DEL-AUH,INTERNATIONAL,Terminal 3,BFS,232,AUH,Abu Dhabi,United Arab Emirates,IndiGo,India
142,AI,AI 223,21-06-2026 21:15,21-06-2026 17:15,21-06-2026 20:15,DEL-KTM,INTERNATIONAL,Terminal 3,AISATS,150,KTM,Kathmandu,Nepal,Air India,India
143,EY,EY 217,21-06-2026 21:15,21-06-2026 17:15,21-06-2026 20:15,DEL-AUH,INTERNATIONAL,Terminal 3,AISATS,327,AUH,Abu Dhabi,United Arab Emirates,Etihad Airways,United Arab Emirates
144,IX,IX 173,21-06-2026 21:20,21-06-2026 17:20,21-06-2026 20:20,DEL-DMM,INTERNATIONAL,Terminal 3,AISATS,180,DMM,Dammam,Saudi Arabia,Air India Express,India
145,6E,6E 1307,21-06-2026 21:30,21-06-2026 17:30,21-06-2026 20:30,DEL-DOH,INTERNATIONAL,Terminal 3,BFS,186,DOH,Doha,Qatar,IndiGo,India
146,AI,AI 2386,21-06-2026 21:40,21-06-2026 17:40,21-06-2026 20:40,DEL-KUL,INTERNATIONAL,Terminal 3,AISATS,164,KUL,Kuala Lumpur,Malaysia,Air India,India
147,AI,AI 101,21-06-2026 21:45,21-06-2026 17:45,21-06-2026 20:45,DEL-FCO-JFK,INTERNATIONAL,Terminal 3,AISATS,316,JFK,New York,United States,Air India,India
148,GF,GF 135,21-06-2026 21:50,21-06-2026 17:50,21-06-2026 20:50,DEL-BAH,INTERNATIONAL,Terminal 3,BFS,150,BAH,Manama,Bahrain,Gulf Air,Bahrain
149,SQ,SQ 403,21-06-2026 21:55,21-06-2026 17:55,21-06-2026 20:55,DEL-SIN,INTERNATIONAL,Terminal 3,AISATS,471,SIN,Singapore,Singapore,Singapore Airlines,Singapore
150,6E,6E 063,21-06-2026 22:00,21-06-2026 18:00,21-06-2026 21:00,DEL-JED,INTERNATIONAL,Terminal 3,BFS,186,JED,Jeddah,Saudi Arabia,IndiGo,India
151,6E,6E 071,21-06-2026 22:00,21-06-2026 18:00,21-06-2026 21:00,DEL-RUH,INTERNATIONAL,Terminal 3,BFS,186,RUH,Riyadh,Saudi Arabia,IndiGo,India
152,OD,OD 206,21-06-2026 22:05,21-06-2026 18:05,21-06-2026 21:05,DEL-KUL,INTERNATIONAL,Terminal 3,AISATS,189,KUL,Kuala Lumpur,Malaysia,Batik Air Malaysia,Malaysia
153,EK,EK 515,21-06-2026 22:05,21-06-2026 18:05,21-06-2026 21:05,DEL-DXB,INTERNATIONAL,Terminal 3,AISATS,360,DXB,Dubai,United Arab Emirates,Emirates,United Arab Emirates
154,AI,AI 314,21-06-2026 22:10,21-06-2026 18:10,21-06-2026 21:10,DEL-HKG,INTERNATIONAL,Terminal 3,AISATS,188,HKG,Hong Kong,Hong Kong,Air India,India
155,CX,CX 698,21-06-2026 22:45,21-06-2026 18:45,21-06-2026 21:45,DEL-HKG,INTERNATIONAL,Terminal 3,AISATS,368,HKG,Hong Kong,Hong Kong,Cathay Pacific,Hong Kong
156,AC,AC 043,21-06-2026 22:50,21-06-2026 18:50,21-06-2026 21:50,DEL-YYZ,INTERNATIONAL,Terminal 3,AISATS,300,YYZ,Toronto,Canada,Air Canada,Canada
157,CA,CA 948,21-06-2026 22:50,21-06-2026 18:50,21-06-2026 21:50,DEL-PEK,INTERNATIONAL,Terminal 3,BFS,301,PEK,Beijing,China,Air China,China
158,AI,AI 2380,21-06-2026 23:00,21-06-2026 19:00,21-06-2026 22:00,DEL-SIN,INTERNATIONAL,Terminal 3,AISATS,188,SIN,Singapore,Singapore,Air India,India
159,MH,MH 191,21-06-2026 23:00,21-06-2026 19:00,21-06-2026 22:00,DEL-KUL,INTERNATIONAL,Terminal 3,AISATS,290,KUL,Kuala Lumpur,Malaysia,Malaysia Airlines,Malaysia
160,D7,D7 183,21-06-2026 23:20,21-06-2026 19:20,21-06-2026 22:20,DEL-KUL,INTERNATIONAL,Terminal 3,BFS,377,KUL,Kuala Lumpur,Malaysia,AirAsia X,Malaysia
161,AA,AA 293,21-06-2026 23:30,21-06-2026 19:30,21-06-2026 22:30,DEL-JFK,INTERNATIONAL,Terminal 3,AISATS,285,JFK,New York,United States,American Airlines,United States
162,TG,TG 316,21-06-2026 23:30,21-06-2026 19:30,21-06-2026 22:30,DEL-BKK,INTERNATIONAL,Terminal 3,BFS,298,BKK,Bangkok,Thailand,Thai Airways,Thailand
163,VN,VN 980,21-06-2026 23:35,21-06-2026 19:35,21-06-2026 22:35,DEL-HAN,INTERNATIONAL,Terminal 3,AISATS,305,HAN,Hanoi,Vietnam,Vietnam Airlines,Vietnam
164,UA,UA 083,21-06-2026 23:35,21-06-2026 19:35,21-06-2026 22:35,DEL-EWR,INTERNATIONAL,Terminal 3,BFS,257,EWR,Newark,United States,United Airlines,United States
